"Center Name","Unique Guest count","New Guest Count","New Guest %","Invoice Count","Online invoice count","Online invoice %","Rebooking Source Count","Rebooking Source %","Services with provider requests","Services with provider requests %","Service Sales Count","Service Sales","Average service sale per invoice","Service Sales Invoice Count","Product Sales Count","Product Sales","Average product sale per invoice","Product Sales Invoice Count","Package Sales Count","Package Sales","Average package sale per invoice","Package Sales Invoice Count","Membership Sales Count","Membership Sales","Average membership sale per invoice","Membership Sales Invoice Count","Gift Card Sales Count","Gift Card Sales","Prepaid Card Sales Count","Prepaid Card Sales","Total Sales","Sale Count","Refund Amount","Refund Quantity","Open Invoices Count","Closed Invoices Count","Center Utilization(By Employee)","Available Hours","Available hours (Providers)","Serviced Hours","Booked Hours","Blocked Hours","Gift card redeemed","Gift card redeemed (cross center)","Package redeemed","Package redeemed (cross center)","Membership redeemed","Membership redeemed (cross center)","Discount","Gift card online sales","Gift card in-store sales","No-show fees","Cancellation fees"
"Warehouse Center","0","0","0.0000","0","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0","0.0000","0","0","0","0","0","0","0.0000","0:00","0:00","0:00","0:00","0:00","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000"
"Waldorf, MD","5","2","40.0000","7","1","14.2900","3","60.0000","1","12.5000","8","1813.0000","302.1700","6","1","158.3600","158.3600","1","0","0.0000","0.0000","0","1","139.0000","139.0000","1","0","0.0000","0","0.0000","2110.36","10","0","0","1","6","30.2100","16:00","16:00","4:50","4:50","0:45","0","0","0","0","514","0","76.6000","0.0000","0.0000","50.0000","0.0000"
"Tribeca, NY","15","6","40.0000","16","8","50.0000","1","6.6700","6","18.7500","135","2636.5800","175.7700","15","0","0.0000","0.0000","0","0","0.0000","0.0000","0","1","19.8600","19.8600","1","0","0.0000","0","0.0000","2656.44","136","0","0","0","16","45.6100","19:00","19:00","8:40","8:40","1:00","0","0","316.67","0","0","0","330.3300","0.0000","0.0000","0.0000","0.0000"
"Staten Island, NY","0","0","0.0000","0","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0","0.0000","0","0","0","0","0","0","0.0000","0:00","0:00","0:00","0:00","0:00","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000"
"Short Hills, NJ","12","1","8.3300","27","2","7.4100","5","45.4500","0","0.0000","244","3029.2000","201.9500","15","1","40.5200","40.5200","1","3","5300.0000","1766.6700","3","8","948.0000","118.5000","8","0","0.0000","0","0.0000","9317.72","256","0","0","4","23","24.1700","30:00","30:00","7:15","7:15","18:15","100","0","1466.66","1066.66","317.99","178.99","662.2200","0.0000","0.0000","50.0000","200.0000"
"Ridgewood, NJ","20","1","5.0000","34","9","26.4700","8","42.1100","14","37.8400","145","6701.5000","279.2300","24","1","177.0100","177.0100","1","1","1600.0000","1600.0000","1","9","1087.0000","120.7800","9","1","100.0000","0","0.0000","9665.51","157","0","0","4","30","41.3000","34:30","34:30","14:15","14:15","4:00","0","0","1750","0","1372","0","962.5000","0.0000","100.0000","0.0000","200.0000"
"Red Bank, NJ","3","1","33.3300","9","1","11.1100","0","0.0000","2","28.5700","7","1699.0000","424.7500","4","0","0.0000","0.0000","0","1","500.0000","500.0000","1","5","645.0000","129.0000","5","0","0.0000","0","0.0000","2844","13","0","0","1","8","34.6700","12:30","12:30","4:20","4:20","1:00","0","0","500","0","0","0","430.0000","0.0000","0.0000","0.0000","0.0000"
"Pikesville, MD","0","0","0.0000","0","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0","0.0000","0","0","0","0","0","0","0.0000","0:00","0:00","0:00","0:00","0:00","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000"
"Old Bridge, NJ","15","8","53.3300","15","5","33.3300","2","14.2900","2","9.5200","90","2107.0000","150.5000","14","1","94.9000","94.9000","1","0","0.0000","0.0000","0","0","0.0000","0.0000","0","1","50.0000","0","0.0000","2251.9","92","0","0","0","15","38.5400","24:00","24:00","9:15","9:15","1:30","100","0","0","0","278","0","388.0000","0.0000","50.0000","0.0000","0.0000"
"Montvale, NJ","0","0","0.0000","0","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0","0.0000","0","0","0","0","0","0","0.0000","0:00","0:00","0:00","0:00","0:00","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000"
