"Center Name","Unique Guest count","New Guest Count","New Guest %","Invoice Count","Online invoice count","Online invoice %","Rebooking Source Count","Rebooking Source %","Services with provider requests","Services with provider requests %","Service Sales Count","Service Sales","Average service sale per invoice","Service Sales Invoice Count","Product Sales Count","Product Sales","Average product sale per invoice","Product Sales Invoice Count","Package Sales Count","Package Sales","Average package sale per invoice","Package Sales Invoice Count","Membership Sales Count","Membership Sales","Average membership sale per invoice","Membership Sales Invoice Count","Gift Card Sales Count","Gift Card Sales","Prepaid Card Sales Count","Prepaid Card Sales","Total Sales","Sale Count","Refund Amount","Refund Quantity","Open Invoices Count","Closed Invoices Count","Center Utilization(By Employee)","Available Hours","Available hours (Providers)","Serviced Hours","Booked Hours","Blocked Hours","Gift card redeemed","Gift card redeemed (cross center)","Package redeemed","Package redeemed (cross center)","Membership redeemed","Membership redeemed (cross center)","Discount","Gift card online sales","Gift card in-store sales","No-show fees","Cancellation fees"
"Warehouse Center","0","0","0.0000","0","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0","0.0000","0","0","0","0","0","0","0.0000","0:00","0:00","0:00","0:00","0:00","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000"
"Waldorf, MD","5","2","40.0000","9","2","22.2200","3","60.0000","1","8.3300","94","1951.7400","325.2900","6","0","0.0000","0.0000","0","0","0.0000","0.0000","0","4","554.0000","138.5000","4","0","0.0000","0","0.0000","2505.74","98","0","0","1","8","24.4800","16:00","16:00","3:55","3:55","0:45","0","0","0","0","145","0","101.0000","0.0000","0.0000","0.0000","50.0000"
"Tribeca, NY","10","3","30.0000","11","3","27.2700","0","0.0000","0","0.0000","162","2434.0000","243.4000","10","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","1","50.0000","2484","163","0","0","0","11","36.0200","15:30","15:30","5:35","5:35","0:00","0","0","350","0","0","0","100.0000","0.0000","0.0000","0.0000","0.0000"
"Staten Island, NY","0","0","0.0000","0","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0","0.0000","0","0","0","0","0","0","0.0000","0:00","0:00","0:00","0:00","0:00","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000"
"Short Hills, NJ","16","2","12.5000","20","5","25.0000","7","43.7500","7","22.5800","491","5485.8800","342.8700","16","3","230.8500","115.4200","2","0","0.0000","0.0000","0","4","534.0000","133.5000","4","0","0.0000","0","0.0000","6250.73","498","0","0","0","20","42.3600","24:00","24:00","10:10","10:10","5:30","100","0","0","0","1641","297","607.3900","0.0000","0.0000","0.0000","0.0000"
"Ridgewood, NJ","25","2","8.0000","37","11","29.7300","10","38.4600","11","24.4400","456","10943.0500","377.3500","29","2","213.0000","106.5000","2","-1","-299.0000","-299.0000","1","7","929.0000","132.7100","7","0","0.0000","1","299.0000","12085.05","465","349","2","1","36","52.1900","38:00","38:00","19:50","19:50","1:30","50","0","2302.33","0","659","0","1020.9800","0.0000","0.0000","50.0000","0.0000"
"Red Bank, NJ","21","3","14.2900","35","10","28.5700","11","55.0000","16","35.5600","525","8068.2700","366.7400","22","0","0.0000","0.0000","0","0","0.0000","0.0000","0","5","587.0000","53.3600","11","0","0.0000","3","375.0000","9030.27","533","375","3","0","35","44.5400","29:00","29:00","12:55","12:55","2:00","0","0","1083.33","1000","520","0","574.2700","0.0000","0.0000","0.0000","50.0000"
"Pikesville, MD","0","0","0.0000","0","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0","0.0000","0","0","0","0","0","0","0.0000","0:00","0:00","0:00","0:00","0:00","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000"
"Old Bridge, NJ","1","0","0.0000","5","1","20.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","4","568.0000","142.0000","4","1","100.0000","0","0.0000","668","5","0","0","0","5","0.0000","8:00","8:00","0:00","0:00","16:30","0","0","0","0","0","0","0.0000","100.0000","0.0000","0.0000","0.0000"
"Montvale, NJ","0","0","0.0000","0","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0","0.0000","0","0","0","0","0","0","0.0000","0:00","0:00","0:00","0:00","0:00","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000"
"Montclair, NJ","26","4","15.3800","34","10","29.4100","6","24.0000","5","11.3600","535","9089.5600","336.6500","27","3","189.0000","63.0000","3","0","0.0000","0.0000","0","6","792.0000","132.0000","6","0","0.0000","0","0.0000","10070.56","544","0","0","0","34","46.0700","44:30","44:30","20:30","20:30","2:30","0","0","2057","0","556","0","1483.3600","0.0000","0.0000","0.0000","0.0000"
"Marlton, NJ","0","0","0.0000","0","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0","0.0000","0","0","0","0","0","0","0.0000","0:00","0:00","0:00","0:00","0:00","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000"
"Lancaster, PA","9","2","22.2200","10","1","10.0000","4","44.4400","1","5.5600","17","2506.0000","250.6000","10","1","44.1000","44.1000","1","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0","0.0000","2550.1","18","56","1","0","10","87.5000","8:00","8:00","7:00","7:00","0:30","0","0","972","0","435","0","397.9000","0.0000","0.0000","0.0000","0.0000"
"Jersey City, NJ","40","10","25.0000","55","18","32.7300","12","31.5800","11","14.8600","1662","16950.8800","376.6900","45","10","977.5000","325.8300","3","-2","-2900.0000","-1450.0000","2","5","615.0000","123.0000","5","2","0.0000","2","2900.0000","18543.38","1679","2900","2","6","49","59.7200","42:00","42:00","25:05","25:05","1:20","44","44","2376","200","417","0","2457.9800","0.0000","0.0000","0.0000","250.0000"
"Hoboken, NJ","32","1","3.1200","49","6","12.2400","19","59.3800","8","14.0400","985","12037.3500","325.3300","37","2","232.2000","232.2000","1","1","2100.0000","2100.0000","1","11","1431.0000","130.0900","11","0","0.0000","0","0.0000","15800.55","999","200","1","0","49","49.6000","41:30","41:30","20:35","20:35","1:30","252.36","0","3431.9","0","1584","0","1192.0500","0.0000","0.0000","0.0000","0.0000"
"Frederick, MD","10","0","0.0000","19","1","5.2600","9","81.8200","1","4.3500","133","4742.1500","431.1000","11","5","514.1000","128.5200","4","0","0.0000","0.0000","0","8","1094.0000","136.7500","8","0","0.0000","0","0.0000","6350.25","146","0","0","0","19","44.7400","19:00","19:00","8:30","8:30","2:00","0","0","1189.75","0","1302","0","433.7500","0.0000","0.0000","0.0000","0.0000"
"Denville, NJ","15","0","0.0000","24","4","16.6700","7","46.6700","7","25.0000","165","8868.5000","422.3100","21","0","0.0000","0.0000","0","1","1080.0000","1080.0000","1","2","264.0000","132.0000","2","0","0.0000","0","0.0000","10212.5","168","0","0","6","18","41.3900","30:00","30:00","12:25","12:25","1:05","0","0","979","0","502","0","636.5000","0.0000","0.0000","50.0000","150.0000"
"Corporate Center","0","0","0.0000","0","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0","0.0000","0","0","0","0","0","0","0.0000","0:00","0:00","0:00","0:00","0:00","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000"
"Bridgewater, NJ","12","7","58.3300","13","7","53.8500","1","8.3300","4","14.8100","129","2936.3900","244.7000","12","0","0.0000","0.0000","0","3","897.0000","299.0000","3","1","145.0000","145.0000","1","0","0.0000","0","0.0000","3978.39","133","0","0","0","13","47.5500","17:00","17:00","8:05","8:05","0:30","0","0","1321","99","0","0","785.6100","0.0000","0.0000","0.0000","0.0000"
"Bel Air, MD","17","3","17.6500","25","4","16.0000","5","29.4100","3","11.1100","28","4684.1000","234.2000","20","1","0.0000","0.0000","1","1","2200.0000","2200.0000","1","5","685.0000","137.0000","5","0","0.0000","0","0.0000","7569.1","35","0","0","0","25","43.0300","35:15","35:15","15:10","15:10","3:30","365","0","1790","0","889","0","2255.9000","0.0000","0.0000","50.0000","50.0000"