"Center Name","Unique Guest count","New Guest Count","New Guest %","Invoice Count","Online invoice count","Online invoice %","Rebooking Source Count","Rebooking Source %","Services with provider requests","Services with provider requests %","Service Sales Count","Service Sales","Average service sale per invoice","Service Sales Invoice Count","Product Sales Count","Product Sales","Average product sale per invoice","Product Sales Invoice Count","Package Sales Count","Package Sales","Average package sale per invoice","Package Sales Invoice Count","Membership Sales Count","Membership Sales","Average membership sale per invoice","Membership Sales Invoice Count","Gift Card Sales Count","Gift Card Sales","Prepaid Card Sales Count","Prepaid Card Sales","Total Sales","Sale Count","Refund Amount","Refund Quantity","Open Invoices Count","Closed Invoices Count","Center Utilization(By Employee)","Available Hours","Available hours (Providers)","Serviced Hours","Booked Hours","Blocked Hours","Gift card redeemed","Gift card redeemed (cross center)","Package redeemed","Package redeemed (cross center)","Membership redeemed","Membership redeemed (cross center)","Discount","Gift card online sales","Gift card in-store sales","No-show fees","Cancellation fees"
"Warehouse Center","0","0","0.0000","0","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0","0.0000","0","0","0","0","0","0","0.0000","0:00","0:00","0:00","0:00","0:00","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000"
"Waldorf, MD","4","0","0.0000","6","0","0.0000","2","50.0000","0","0.0000","5","668.0000","133.6000","5","0","0.0000","0.0000","0","0","0.0000","0.0000","0","1","125.0000","125.0000","1","0","0.0000","0","0.0000","793","6","0","0","0","6","13.7300","17:00","17:00","2:20","2:20","1:20","0","0","99","0","0","0","26.0000","0.0000","0.0000","50.0000","0.0000"
"Tribeca, NY","9","3","33.3300","15","6","40.0000","2","22.2200","2","9.5200","147","2795.8200","254.1700","11","0","0.0000","0.0000","0","-1","-99.0000","-99.0000","1","2","150.4800","75.2400","2","2","0.0000","1","99.0000","2946.3","151","99","1","3","12","31.5800","19:00","19:00","6:00","6:00","3:00","0","0","516.67","0","0","0","213.3300","0.0000","0.0000","0.0000","100.0000"
"Staten Island, NY","0","0","0.0000","0","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0","0.0000","0","0","0","0","0","0","0.0000","0:00","0:00","0:00","0:00","0:00","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000"
"Short Hills, NJ","17","1","5.8800","32","6","18.7500","6","35.2900","1","3.7000","348","6434.0800","306.3800","21","0","0.0000","0.0000","0","1","850.0000","850.0000","1","10","1292.0000","129.2000","10","0","0.0000","0","0.0000","8576.08","359","50","1","2","30","34.3400","33:00","33:00","11:20","11:20","19:30","0","0","1222.08","183.33","870","0","1224.9200","0.0000","0.0000","50.0000","50.0000"
"Ridgewood, NJ","21","3","14.2900","31","13","41.9400","4","19.0500","13","36.1100","416","5579.2600","223.1700","25","0","0.0000","0.0000","0","0","0.0000","0.0000","0","6","704.0000","117.3300","6","0","0.0000","0","0.0000","6283.26","422","0","0","3","28","38.6400","33:00","33:00","12:45","12:45","2:55","100","0","1418","0","574","0","576.8700","0.0000","0.0000","50.0000","100.0000"
"Red Bank, NJ","11","2","18.1800","29","5","17.2400","6","54.5500","6","25.0000","474","6007.7300","333.7600","18","0","0.0000","0.0000","0","1","810.0000","810.0000","1","11","1293.0000","117.5500","11","0","0.0000","0","0.0000","8110.73","486","0","0","5","24","30.5600","24:00","24:00","7:20","7:20","3:15","555.4","0","1735.33","0","145","0","1024.6300","0.0000","0.0000","0.0000","0.0000"
"Pikesville, MD","0","0","0.0000","0","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0","0.0000","0","0","0","0","0","0","0.0000","0:00","0:00","0:00","0:00","0:00","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000"
"Old Bridge, NJ","13","3","23.0800","17","3","17.6500","4","30.7700","2","9.5200","138","3306.0000","206.6200","16","3","293.2400","146.6200","2","0","0.0000","0.0000","0","1","139.0000","139.0000","1","0","0.0000","0","0.0000","3738.24","142","0","0","0","17","34.3300","25:00","25:00","8:35","8:35","7:30","0","0","1307","75","139","139","734.0000","0.0000","0.0000","0.0000","0.0000"
"Montvale, NJ","0","0","0.0000","0","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0","0.0000","0","0","0","0","0","0","0.0000","0:00","0:00","0:00","0:00","0:00","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000"
"Montclair, NJ","16","2","12.5000","38","9","23.6800","4","25.0000","3","10.3400","165","4628.0000","220.3800","21","1","232.2000","232.2000","1","0","0.0000","0.0000","0","17","2195.0000","129.1200","17","0","0.0000","0","0.0000","7055.2","183","0","0","3","35","32.2200","45:00","45:00","14:30","14:30","8:45","100","0","1274","0","792","0","936.2000","0.0000","0.0000","0.0000","100.0000"
"Marlton, NJ","0","0","0.0000","0","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0","0.0000","0","0","0","0","0","0","0.0000","0:00","0:00","0:00","0:00","0:00","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000"
"Lancaster, PA","8","2","25.0000","11","2","18.1800","2","22.2200","3","12.5000","134","4170.7300","463.4100","9","0","0.0000","0.0000","0","1","2100.0000","2100.0000","1","2","284.0000","142.0000","2","0","0.0000","0","0.0000","6554.73","137","0","0","0","11","83.3300","8:00","8:00","6:40","6:40","0:30","0","0","2519.33","0","435","0","968.9000","0.0000","0.0000","0.0000","0.0000"
"Jersey City, NJ","1","0","0.0000","27","7","25.9300","0","0.0000","0","0.0000","0","0.0000","0.0000","14","0","0.0000","0.0000","0","-2","-420.0000","-210.0000","2","9","1077.0000","119.6700","9","0","0.0000","2","420.0000","1077","9","420","2","14","13","0.0000","0:00","0:00","0:00","0:00","10:00","0","0","0","0","0","0","250.0000","0.0000","0.0000","0.0000","500.0000"
"Hoboken, NJ","47","4","8.5100","56","17","30.3600","18","39.1300","21","26.5800","1291","14270.6600","310.2300","46","4","437.6000","218.8000","2","0","0.0000","0.0000","0","12","1600.0000","133.3300","12","0","0.0000","0","0.0000","16308.26","1307","0","0","1","55","54.9100","56:00","56:00","30:45","30:45","16:10","336","56","3536.97","0","1112","139","2381.0000","0.0000","0.0000","0.0000","0.0000"
"Frederick, MD","10","2","20.0000","19","3","15.7900","3","30.0000","0","0.0000","84","3663.7100","305.3100","12","0","0.0000","0.0000","0","0","0.0000","0.0000","0","7","895.0000","127.8600","7","0","0.0000","0","0.0000","4558.71","91","0","0","2","17","71.1100","7:30","7:30","5:20","5:20","14:30","0","0","504.75","0","935","0","198.2500","0.0000","0.0000","0.0000","0.0000"
"Denville, NJ","19","2","10.5300","29","3","10.3400","11","61.1100","7","17.9500","436","5272.4300","263.6200","20","-1","-47.1300","-47.1300","1","2","2602.1000","1301.0500","2","5","645.0000","129.0000","5","0","0.0000","1","47.1300","8519.53","443","47.13","1","2","27","47.6600","28:30","28:30","13:35","13:35","5:30","50","0","2396.16","0","238","99","1290.9500","0.0000","0.0000","0.0000","100.0000"
