"Center Name","Unique Guest count","New Guest Count","New Guest %","Invoice Count","Online invoice count","Online invoice %","Rebooking Source Count","Rebooking Source %","Services with provider requests","Services with provider requests %","Service Sales Count","Service Sales","Average service sale per invoice","Service Sales Invoice Count","Product Sales Count","Product Sales","Average product sale per invoice","Product Sales Invoice Count","Package Sales Count","Package Sales","Average package sale per invoice","Package Sales Invoice Count","Membership Sales Count","Membership Sales","Average membership sale per invoice","Membership Sales Invoice Count","Gift Card Sales Count","Gift Card Sales","Prepaid Card Sales Count","Prepaid Card Sales","Total Sales","Sale Count","Refund Amount","Refund Quantity","Open Invoices Count","Closed Invoices Count","Center Utilization(By Employee)","Available Hours","Available hours (Providers)","Serviced Hours","Booked Hours","Blocked Hours","Gift card redeemed","Gift card redeemed (cross center)","Package redeemed","Package redeemed (cross center)","Membership redeemed","Membership redeemed (cross center)","Discount","Gift card online sales","Gift card in-store sales","No-show fees","Cancellation fees"
"Warehouse Center","0","0","0.0000","0","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0","0.0000","0","0","0","0","0","0","0.0000","0:00","0:00","0:00","0:00","0:00","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000"
"Waldorf, MD","5","1","20.0000","9","3","33.3300","3","60.0000","1","12.5000","63","1306.0000","186.5700","7","0","0.0000","0.0000","0","0","0.0000","0.0000","0","2","284.0000","142.0000","2","0","0.0000","0","0.0000","1590","65","0","0","1","8","25.5200","16:00","16:00","4:05","4:05","0:30","0","0","0","0","278","0","276.0000","0.0000","0.0000","0.0000","0.0000"
"Tribeca, NY","0","0","0.0000","1","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","1","145.0000","145.0000","1","0","0.0000","0","0.0000","145","1","0","0","0","1","0.0000","14:00","14:00","0:00","0:00","1:30","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000"
"Staten Island, NY","0","0","0.0000","0","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0","0.0000","0","0","0","0","0","0","0.0000","0:00","0:00","0:00","0:00","0:00","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000"
"Short Hills, NJ","18","4","22.2200","26","5","19.2300","11","61.1100","0","0.0000","449","6032.6900","335.1500","18","0","0.0000","0.0000","0","0","0.0000","0.0000","0","9","1015.0000","112.7800","9","2","0.0000","0","0.0000","7047.69","460","0","0","1","25","53.1200","32:00","32:00","17:00","17:00","2:10","300","300","594.03","0","695","0","1428.9700","0.0000","0.0000","0.0000","0.0000"
"Ridgewood, NJ","10","4","40.0000","23","4","17.3900","1","10.0000","3","14.2900","216","3891.0000","228.8800","17","0","0.0000","0.0000","0","0","0.0000","0.0000","0","6","804.0000","134.0000","6","0","0.0000","0","0.0000","4695","222","100","2","0","23","31.4800","22:30","22:30","7:05","7:05","2:40","60","0","0","0","435","0","482.0000","0.0000","0.0000","0.0000","100.0000"
"Red Bank, NJ","19","7","36.8400","26","8","30.7700","8","42.1100","12","30.7700","140","15410.9000","770.5400","20","2","211.3000","105.6500","2","1","2500.0000","2500.0000","1","5","627.0000","125.4000","5","2","0.0000","2","2.0000","18751.2","152","0","0","0","26","57.4100","31:30","31:30","18:05","18:05","2:20","25.4","0","2800","0","1148","0","1867.8000","0.0000","0.0000","0.0000","0.0000"
"Pikesville, MD","0","0","0.0000","0","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0","0.0000","0","0","0","0","0","0","0.0000","0:00","0:00","0:00","0:00","0:00","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000"
"Old Bridge, NJ","1","1","100.0000","1","1","100.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","1","300.0000","0","0.0000","300","1","0","0","0","1","0.0000","0:00","0:00","0:00","0:00","0:00","0","0","0","0","0","0","0.0000","300.0000","0.0000","0.0000","0.0000"
"Montvale, NJ","0","0","0.0000","0","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0","0.0000","0","0","0","0","0","0","0.0000","0:00","0:00","0:00","0:00","0:00","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000"
