"Center Name","Unique Guest count","New Guest Count","New Guest %","Invoice Count","Online invoice count","Online invoice %","Rebooking Source Count","Rebooking Source %","Services with provider requests","Services with provider requests %","Service Sales Count","Service Sales","Average service sale per invoice","Service Sales Invoice Count","Product Sales Count","Product Sales","Average product sale per invoice","Product Sales Invoice Count","Package Sales Count","Package Sales","Average package sale per invoice","Package Sales Invoice Count","Membership Sales Count","Membership Sales","Average membership sale per invoice","Membership Sales Invoice Count","Gift Card Sales Count","Gift Card Sales","Prepaid Card Sales Count","Prepaid Card Sales","Total Sales","Sale Count","Refund Amount","Refund Quantity","Open Invoices Count","Closed Invoices Count","Center Utilization(By Employee)","Available Hours","Available hours (Providers)","Serviced Hours","Booked Hours","Blocked Hours","Gift card redeemed","Gift card redeemed (cross center)","Package redeemed","Package redeemed (cross center)","Membership redeemed","Membership redeemed (cross center)","Discount","Gift card online sales","Gift card in-store sales","No-show fees","Cancellation fees"
"Warehouse Center","0","0","0.0000","0","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0","0.0000","0","0","0","0","0","0","0.0000","0:00","0:00","0:00","0:00","0:00","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000"
"Waldorf, MD","9","4","44.4400","11","5","45.4500","5","62.5000","2","18.1800","41","1262.5000","140.2800","9","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","2","300.0000","0","0.0000","1562.5","43","0","0","1","10","33.8500","16:00","16:00","5:25","5:25","0:45","50","0","0","0","139","0","111.5000","50.0000","250.0000","0.0000","50.0000"
"Tribeca, NY","0","0","0.0000","0","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0","0.0000","0","0","0","0","0","0","0.0000","0:00","0:00","0:00","0:00","0:30","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000"
"Staten Island, NY","0","0","0.0000","0","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0","0.0000","0","0","0","0","0","0","0.0000","0:00","0:00","0:00","0:00","0:00","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000"
"Short Hills, NJ","19","3","15.7900","29","3","10.3400","10","52.6300","0","0.0000","129","4016.1800","182.5500","22","5","209.0000","69.6700","3","1","810.0000","810.0000","1","6","726.0000","121.0000","6","0","0.0000","0","0.0000","5761.18","141","0","0","2","27","37.2400","32:00","32:00","11:55","11:55","2:30","0","0","1127.33","150","752","0","1229.8200","0.0000","0.0000","0.0000","200.0000"
"Ridgewood, NJ","19","2","10.5300","36","11","30.5600","4","21.0500","7","19.4400","358","7223.8300","300.9900","24","1","46.8000","46.8000","1","0","0.0000","0.0000","0","12","1444.0000","120.3300","12","0","0.0000","0","0.0000","8714.63","371","0","0","1","35","54.2600","23:30","23:30","12:45","12:45","2:30","320","0","1926.2","0","1500","0","1936.0000","0.0000","0.0000","0.0000","0.0000"
"Red Bank, NJ","26","5","19.2300","48","7","14.5800","7","28.0000","5","12.8200","349","6022.0900","188.1900","32","2","124.2000","124.2000","1","-1","-1275.0000","-1275.0000","1","5","573.0000","63.6700","9","0","0.0000","6","3450.0000","8894.29","361","1875","4","0","48","54.9700","28:30","28:30","15:40","15:40","2:20","0","0","783","0","514","0","1176.7000","0.0000","0.0000","0.0000","0.0000"
"Pikesville, MD","0","0","0.0000","0","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0","0.0000","0","0","0","0","0","0","0.0000","0:00","0:00","0:00","0:00","0:00","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000"
"Old Bridge, NJ","12","3","25.0000","19","2","10.5300","5","41.6700","0","0.0000","272","4332.1200","309.4400","14","0","0.0000","0.0000","0","5","4298.0000","614.0000","7","0","0.0000","0.0000","0","2","0.0000","0","0.0000","8630.12","279","2160","6","0","19","70.8300","16:00","16:00","11:20","11:20","1:30","50","0","2498","0","0","0","1287.6800","0.0000","0.0000","0.0000","0.0000"
"Montvale, NJ","0","0","0.0000","0","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0","0.0000","0","0","0","0","0","0","0.0000","0:00","0:00","0:00","0:00","0:00","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000"
