"Center Name","Unique Guest count","New Guest Count","New Guest %","Invoice Count","Online invoice count","Online invoice %","Rebooking Source Count","Rebooking Source %","Services with provider requests","Services with provider requests %","Service Sales Count","Service Sales","Average service sale per invoice","Service Sales Invoice Count","Product Sales Count","Product Sales","Average product sale per invoice","Product Sales Invoice Count","Package Sales Count","Package Sales","Average package sale per invoice","Package Sales Invoice Count","Membership Sales Count","Membership Sales","Average membership sale per invoice","Membership Sales Invoice Count","Gift Card Sales Count","Gift Card Sales","Prepaid Card Sales Count","Prepaid Card Sales","Total Sales","Sale Count","Refund Amount","Refund Quantity","Open Invoices Count","Closed Invoices Count","Center Utilization(By Employee)","Available Hours","Available hours (Providers)","Serviced Hours","Booked Hours","Blocked Hours","Gift card redeemed","Gift card redeemed (cross center)","Package redeemed","Package redeemed (cross center)","Membership redeemed","Membership redeemed (cross center)","Discount","Gift card online sales","Gift card in-store sales","No-show fees","Cancellation fees"
"Warehouse Center","0","0","0.0000","0","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0","0.0000","0","0","0","0","0","0","0.0000","0:00","0:00","0:00","0:00","0:00","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000"
"Waldorf, MD","4","1","25.0000","6","3","50.0000","1","25.0000","1","20.0000","5","729.1000","121.5200","6","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0","0.0000","729.1","5","0","0","2","4","25.8300","10:00","10:00","2:35","2:35","0:30","0","0","0","0","0","0","119.9000","0.0000","0.0000","0.0000","0.0000"
"Tribeca, NY","0","0","0.0000","1","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","1","125.0000","125.0000","1","0","0.0000","0","0.0000","125","1","0","0","0","1","0.0000","0:00","0:00","0:00","0:00","0:30","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000"
"Staten Island, NY","0","0","0.0000","0","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0","0.0000","0","0","0","0","0","0","0.0000","0:00","0:00","0:00","0:00","0:00","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000"
"Short Hills, NJ","9","0","0.0000","12","3","25.0000","7","77.7800","4","22.2200","134","3394.9000","377.2100","9","1","42.3000","42.3000","1","0","0.0000","0.0000","0","3","409.0000","136.3300","3","0","0.0000","0","0.0000","3846.2","138","0","0","0","12","49.4400","15:00","15:00","7:25","7:25","1:00","0","0","724","0","792","139","545.8000","0.0000","0.0000","0.0000","0.0000"
"Ridgewood, NJ","13","2","15.3800","20","6","30.0000","7","53.8500","7","30.4300","238","4384.3600","313.1700","14","0","0.0000","0.0000","0","0","0.0000","0.0000","0","6","764.0000","127.3300","6","2","0.0000","0","0.0000","5148.36","246","0","0","0","20","58.6200","14:30","14:30","8:30","8:30","1:30","0","0","784","0","375","0","182.0000","0.0000","0.0000","0.0000","50.0000"
"Red Bank, NJ","7","2","28.5700","14","4","28.5700","3","50.0000","4","33.3300","564","2696.4600","337.0600","8","3","199.5000","199.5000","1","0","0.0000","0.0000","0","5","433.0000","86.6000","5","0","0.0000","0","0.0000","3328.96","572","0","0","0","14","41.2300","9:30","9:30","3:55","3:55","2:10","0","0","0","0","0","0","429.4000","0.0000","0.0000","0.0000","0.0000"
"Pikesville, MD","0","0","0.0000","0","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0","0.0000","0","0","0","0","0","0","0.0000","0:00","0:00","0:00","0:00","0:00","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000"
"Old Bridge, NJ","7","3","42.8600","13","3","23.0800","2","25.0000","2","15.3800","83","1956.3000","195.6300","10","0","0.0000","0.0000","0","0","0.0000","0.0000","0","3","429.0000","143.0000","3","0","0.0000","0","0.0000","2385.3","86","0","0","1","12","57.5000","10:00","10:00","5:45","5:45","4:20","100","0","480","0","0","0","605.7000","0.0000","0.0000","50.0000","0.0000"
"Montvale, NJ","0","0","0.0000","0","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0","0.0000","0","0","0","0","0","0","0.0000","0:00","0:00","0:00","0:00","0:00","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000"
