"Center Name","Unique Guest count","New Guest Count","New Guest %","Invoice Count","Online invoice count","Online invoice %","Rebooking Source Count","Rebooking Source %","Services with provider requests","Services with provider requests %","Service Sales Count","Service Sales","Average service sale per invoice","Service Sales Invoice Count","Product Sales Count","Product Sales","Average product sale per invoice","Product Sales Invoice Count","Package Sales Count","Package Sales","Average package sale per invoice","Package Sales Invoice Count","Membership Sales Count","Membership Sales","Average membership sale per invoice","Membership Sales Invoice Count","Gift Card Sales Count","Gift Card Sales","Prepaid Card Sales Count","Prepaid Card Sales","Total Sales","Sale Count","Refund Amount","Refund Quantity","Open Invoices Count","Closed Invoices Count","Center Utilization(By Employee)","Available Hours","Available hours (Providers)","Serviced Hours","Booked Hours","Blocked Hours","Gift card redeemed","Gift card redeemed (cross center)","Package redeemed","Package redeemed (cross center)","Membership redeemed","Membership redeemed (cross center)","Discount","Gift card online sales","Gift card in-store sales","No-show fees","Cancellation fees"
"Warehouse Center","0","0","0.0000","0","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0","0.0000","0","0","0","0","0","0","0.0000","0:00","0:00","0:00","0:00","0:00","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000"
"Waldorf, MD","28","12","42.8600","51","16","31.3700","12","41.3800","7","15.2200","93","6853.5000","171.3400","40","4","396.5500","99.1400","4","0","0.0000","0.0000","0","11","1497.0000","136.0900","11","0","0.0000","0","0.0000","8747.05","108","0","0","0","51","22.3700","92:00","92:00","20:35","20:35","4:15","0","0","464","0","713","0","1093.4000","0.0000","0.0000","100.0000","0.0000"
"Tribeca, NY","36","10","27.7800","71","38","53.5200","7","18.4200","5","6.9400","449","7654.0500","123.4500","62","0","0.0000","0.0000","0","-1","-99.0000","-99.0000","1","7","617.6000","88.2300","7","2","0.0000","1","99.0000","8271.65","458","99","1","15","56","27.3400","79:15","79:15","21:40","21:40","13:35","0","0","1439.67","0","57","0","2204.3300","0.0000","0.0000","50.0000","350.0000"
"Staten Island, NY","0","0","0.0000","0","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0","0.0000","0","0","0","0","0","0","0.0000","0:00","0:00","0:00","0:00","0:00","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000"
"Short Hills, NJ","124","17","13.7100","206","43","20.8700","54","43.2000","20","8.6600","2640","42546.2900","319.9000","133","8","453.8300","56.7300","8","3","2925.0000","731.2500","4","69","8881.0000","128.7100","69","0","0.0000","1","325.0000","55131.12","2721","955","3","9","197","44.0800","197:00","197:00","86:50","86:50","34:30","151.75","0","9181.54","1118.44","3919","139","4534.3600","0.0000","0.0000","50.0000","50.0000"
"Ridgewood, NJ","126","24","19.0500","236","54","22.8800","39","30.7100","62","28.4400","3350","37653.5200","249.3600","151","16","982.5600","109.1700","9","1","1530.0000","1530.0000","1","78","9637.0000","123.5500","78","1","500.0000","0","0.0000","50303.08","3446","151","2","20","216","42.3000","203:30","203:30","86:05","86:05","35:10","829.65","0","7336.38","325","5228","870","10168.8900","500.0000","0.0000","100.0000","350.0000"
"Red Bank, NJ","105","13","12.3800","197","38","19.2900","52","47.7100","37","17.2900","3399","44877.7100","353.3700","127","1","55.4500","55.4500","1","-2","-160.0000","-53.3300","3","58","6872.0000","104.1200","66","0","0.0000","3","978.0000","52623.16","3459","1538","7","10","187","44.1200","164:30","164:30","72:35","72:35","19:45","555.4","0","6592.11","1050","6545","750","6918.4300","0.0000","0.0000","100.0000","0.0000"
"Pikesville, MD","0","0","0.0000","0","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0","0.0000","0","0","0","0","0","0","0.0000","0:00","0:00","0:00","0:00","0:00","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000"
"Old Bridge, NJ","64","14","21.8800","94","12","12.7700","37","56.9200","12","9.6000","937","20958.2300","299.4000","70","11","675.8100","96.5400","7","4","4204.3000","1051.0800","4","15","1973.0000","116.0600","17","4","350.0000","2","314.0000","28475.34","973","139","1","1","93","42.1600","119:00","119:00","50:10","50:10","29:05","710","175","7246.66","75","1853","417","2881.3400","350.0000","0.0000","0.0000","0.0000"
"Montvale, NJ","0","0","0.0000","0","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0","0.0000","0","0","0","0","0","0","0.0000","0:00","0:00","0:00","0:00","0:00","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000"
"Montclair, NJ","104","11","10.5800","251","54","21.5100","40","38.4600","23","12.2300","1617","31714.4300","251.7000","126","16","2307.5300","209.7800","11","2","2175.0000","543.7500","4","117","14629.0000","125.0300","117","2","650.0000","3","725.0000","52200.96","1757","725","3","15","236","37.3800","212:00","212:00","79:15","79:15","47:50","300","200","7005.9","0","6344","278","6483.2900","650.0000","0.0000","100.0000","550.0000"
"Marlton, NJ","0","0","0.0000","0","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0","0.0000","0","0","0","0","0","0","0.0000","0:00","0:00","0:00","0:00","0:00","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000"
"Lancaster, PA","38","14","36.8400","51","16","31.3700","13","32.5000","17","20.2400","444","11431.2900","259.8000","44","0","0.0000","0.0000","0","0","1450.0000","725.0000","2","5","593.0000","118.6000","5","0","0.0000","1","0.0000","13474.29","450","650","1","3","48","38.4800","77:45","77:45","29:55","29:55","2:30","192","0","4467.33","0","435","0","3121.9000","0.0000","0.0000","0.0000","50.0000"
"Jersey City, NJ","167","21","12.5700","276","63","22.8300","41","26.6200","45","13.5100","5422","69000.1700","375.0000","184","12","1371.3900","152.3800","9","-2","7070.0400","589.1700","12","51","6085.0000","114.8100","53","4","650.0000","23","8440.9600","92617.56","5510","3639.96","10","18","258","52.1600","220:00","220:00","114:45","114:45","25:40","2272.46","250","16986.01","684","2437","375","20465.6400","650.0000","0.0000","150.0000","650.0000"
"Hoboken, NJ","218","31","14.2200","371","82","22.1000","115","53.4900","87","21.5900","6332","74841.4100","304.2300","246","29","3060.1800","161.0600","19","1","4648.0000","422.5500","11","104","13270.0000","125.1900","106","12","1525.0000","8","3372.0000","100716.59","6486","3511","9","26","345","54.5000","268:30","268:30","146:20","146:20","95:30","1368.86","56","17251.8","0","9236.98","514","10639.2200","525.0000","1000.0000","150.0000","900.0000"
"Frederick, MD","63","13","20.6300","154","20","12.9900","22","33.8500","7","5.3800","453","32970.1100","428.1800","77","19","909.1600","75.7600","12","2","4499.0000","1124.7500","4","69","8717.0000","119.4100","73","0","0.0000","3","478.0000","47573.27","546","588.66","4","9","145","39.2100","116:15","116:15","45:35","45:35","52:10","0","0","7846.25","0","4006","0","2358.7500","0.0000","0.0000","50.0000","50.0000"
"Denville, NJ","144","18","12.5000","218","47","21.5600","58","41.7300","60","22.4700","3691","40891.5100","272.6100","150","8","591.6000","73.9500","8","1","2452.1000","817.3700","3","55","6879.0000","125.0700","55","3","676.2500","2","197.1300","51687.59","3760","197.13","2","13","205","44.5000","198:30","198:30","88:20","88:20","28:20","200","50","9462.01","602","5538.72","799.72","5445.6100","200.0000","476.2500","150.0000","400.0000"
"Corporate Center","0","0","0.0000","0","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0","0.0000","0","0","0","0","0","0","0.0000","0:00","0:00","0:00","0:00","0:00","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000"
"Bridgewater, NJ","51","22","43.1400","73","27","36.9900","23","44.2300","10","10.1000","1278","13153.4800","222.9400","59","1","94.9000","94.9000","1","6","3093.0000","515.5000","6","11","1577.0000","143.3600","11","2","300.0000","0","0.0000","18218.38","1298","50","1","1","72","27.4200","110:00","110:00","30:10","30:10","19:45","0","0","4780","0","713","139","4178.8300","50.0000","250.0000","0.0000","0.0000"
"Bel Air, MD","65","24","36.9200","159","17","10.6900","19","27.9400","5","4.1000","581","18382.8000","238.7400","77","9","5.3000","1.0600","5","1","1659.0000","553.0000","3","77","9903.0000","128.6100","77","3","75.0000","2","1640.0000","31665.1","673","40","1","2","157","44.6700","125:00","125:00","55:50","55:50","42:10","0","0","2332.24","0","3537","0","5049.5200","75.0000","0.0000","50.0000","100.0000"